timestamp_transaction, transaction_amount($) , revenue($) ,timestamp_on_account_balance,account_number, account_balance($) ,branch_name,branch_location,foot_traffic,account_type,account_count,loan_type, loan_amount($) ,timestamp_on_satisfaction_rating,satisfaction_rating,investment_product, return_on_investment($) ,location_customer,customer_count,timestamp_ATM_transaction,ATM_location,transaction_count,Timestamp_on_ATM_transaction,metric_compliance_security_metric,metric_value
12/31/2020," 2,490.68 "," 9,493.99 ",2/6/2019,5.10876E+15," 93,082.81 ",43 Grim Way,Qiankeng,1978,Savings,1,education," 236,737.53 ",Poor,Poor,Consumer Non-Durables," 56,548.61 ",Karanganyar,70,3/10/2016,Erie,5,1/13/2019,,
1/18/2019," 5,314.50 "," 2,389.26 ",8/4/2018,5.10876E+15," 63,670.60 ",286 Jenifer Road,Itabaianinha,561,Savings,2,education," 742,037.03 ",Unsatisfactory,Unsatisfactory,Capital Goods," 72,985.26 ",Atengmelang,42,6/24/2016,Takatsuki,25,2/4/2020,,
4/7/2021," 3,139.86 "," 4,351.85 ",7/30/2022,5.04837E+15," 17,869.66 ",79225 Claremont Avenue,Matang,720,Fixed Deposit,3,education," 321,717.93 ",Good,Good,Basic Industries," 5,208.64 ",North Vancouver,62,12/15/2019,Ume√•,37,3/13/2020,,
9/16/2020," 6,098.78 "," 9,251.36 ",1/8/2018,5.10875E+15," 84,050.57 ",5810 Carey Plaza,Beo,244,Fixed Deposit,4,education," 324,494.81 ",†Very Good†,†Very Good†,Energy," 93,638.84 ",Kuala Lumpur,77,5/25/2021,Al Jaghb≈´b,20,10/6/2021,,
5/3/2018," 3,970.24 "," 6,113.02 ",10/13/2022,5.04837E+15," 95,649.23 ",87 Pennsylvania Point,Dongtucheng,1520,Fixed Deposit,1,education," 488,432.30 ",†Outstanding,†Outstanding,Health Care," 3,528.43 ",Sagasa,55,10/5/2016,Sanlanbahai,11,2/4/2022,,
5/16/2021," 2,075.12 "," 2,575.89 ",8/29/2020,5.04838E+15," 2,077.71 ",0883 7th Terrace,Lianyi,1061,Fixed Deposit,4,education," 410,384.65 ",Poor,Poor,n/a," 68,872.90 ",Chambishi,13,1/18/2022,Trieste,32,4/25/2021,,
6/4/2022," 3,775.34 "," 3,409.27 ",6/7/2020,5.04837E+15," 56,647.90 ",30 Anniversary Drive,Changning,702,Fixed Deposit,3,education," 397,138.52 ",Unsatisfactory,Unsatisfactory,Transportation," 39,089.21 ",Khanabad,42,10/22/2018,Fengshan,50,10/7/2022,,
10/23/2020," 7,232.65 "," 1,932.75 ",11/21/2020,5.04838E+15," 48,640.07 ",50 Northridge Terrace,Wosai,627,Fixed Deposit,1,education," 232,679.99 ",Good,Good,Finance," 17,451.48 ",Salor,68,11/4/2020,Itacoatiara,14,11/13/2018,,
2/16/2020," 8,958.50 "," 8,299.64 ",3/19/2020,5.10876E+15," 60,105.11 ",31 Glacier Hill Place,Amarillo,819,Fixed Deposit,3,education," 597,452.43 ",†Very Good†,†Very Good†,Health Care," 83,091.73 ",Haruai,99,10/3/2018,Bukid,41,4/11/2020,,
6/19/2019, 11.22 ," 5,455.52 ",7/26/2019,5.10876E+15," 32,375.70 ",14 Brown Center,Petrovo-Dal‚Äôneye,25,Fixed Deposit,1,education," 429,097.27 ",†Outstanding,†Outstanding,n/a," 36,327.45 ",Noveleta,78,3/9/2021,Machinda,39,12/13/2022,,
12/20/2018," 5,192.27 "," 2,824.40 ",10/19/2018,5.10875E+15," 3,484.17 ",71 Pond Lane,Bayt ‚ÄòAdhƒÅqah,1,Fixed Deposit,5,education," 736,911.64 ",Poor,Poor,Energy," 24,056.87 ",Xinyu,83,3/4/2021,Bagumbayan,45,7/21/2020,,
6/26/2022, 677.81 ," 1,997.42 ",3/5/2019,5.04838E+15," 88,630.98 ",90 Loftsgordon Drive,Beizheng,1569,Fixed Deposit,1,education," 311,443.75 ",Unsatisfactory,Unsatisfactory,Capital Goods," 55,389.12 ",San Juan Bautista,15,10/13/2018,Rayong,13,3/20/2020,,
6/12/2019," 2,657.30 "," 7,794.83 ",7/2/2022,5.10875E+15," 12,444.02 ",13354 Melvin Park,Bacnor East,1277,Fixed Deposit,4,education," 573,315.90 ",Good,Good,Capital Goods," 73,903.60 ",Songjiang,34,11/23/2018,Omi≈°,6,9/19/2021,,
9/17/2021," 9,526.72 "," 6,540.94 ",9/21/2022,5.04837E+15," 15,362.35 ",99 Park Meadow Junction,Babakan,1255,Fixed Deposit,2,education," 532,294.50 ",†Very Good†,†Very Good†,Basic Industries," 89,722.24 ",Beitan,31,1/13/2018,Huangbu,34,2/18/2019,,
5/21/2020," 2,573.20 "," 2,917.89 ",2/6/2021,5.10876E+15," 20,617.41 ",377 East Street,Ortega,1844,Fixed Deposit,1,education," 571,682.38 ",†Outstanding,†Outstanding,Health Care," 48,415.72 ",‚ÄòAnat al Qadƒ´mah,43,3/10/2022,Lugang,14,12/4/2019,,
10/4/2019," 4,648.69 "," 8,999.13 ",9/21/2018,5.10876E+15," 98,173.36 ",2 Acker Way,Taiba,1030,Fixed Deposit,5,education," 703,832.78 ",Poor,Poor,Finance," 11,496.39 ",Stanis≈Çaw G√≥rny,29,8/22/2019,Dosso,24,5/6/2019,,
7/8/2020, 266.14 ," 4,615.52 ",8/15/2022,5.10875E+15," 96,852.28 ",861 Weeping Birch Trail,As SƒÅlimƒ´yah,252,Fixed Deposit,1,education," 989,100.10 ",Unsatisfactory,Unsatisfactory,Consumer Non-Durables," 40,608.39 ",Tvaro≈æn√°,21,4/23/2018,T·∫ßm Vu,16,7/12/2018,,
8/8/2021," 5,318.14 "," 6,319.94 ",1/20/2022,5.10875E+15," 29,515.99 ",77 Grover Way,Neuilly-sur-Marne,1221,Fixed Deposit,2,education," 473,516.65 ",Good,Good,Consumer Durables," 85,127.61 ",Macari,24,8/17/2016,Ivot,35,5/20/2021,,
12/22/2022," 9,539.48 "," 4,754.76 ",10/24/2021,5.10875E+15," 55,069.27 ",71 Glendale Drive,Pitanga,121,Fixed Deposit,1,education," 579,075.66 ",†Very Good†,†Very Good†,Basic Industries," 73,835.87 ",Th·ªã Tr·∫•n M∆∞·ªùng L√°t,39,5/22/2019,Aian√≠,42,5/8/2021,,
11/10/2020," 7,828.67 "," 3,948.62 ",12/30/2020,5.10875E+15," 29,397.65 ",9316 Cascade Pass,Tobol,309,Fixed Deposit,5,education," 464,141.56 ",†Outstanding,†Outstanding,Basic Industries," 48,341.66 ",Emiliano Zapata,67,1/1/2018,Ribeiro,48,10/26/2021,,
10/14/2018," 6,887.18 "," 5,289.67 ",12/21/2020,5.10876E+15," 27,676.82 ",5632 4th Way,Yangqiaodian,452,Fixed Deposit,1,education," 869,444.75 ",Poor,Poor,Capital Goods," 37,889.20 ",San Quintin,10,4/5/2017,S√§ffle,33,5/27/2018,,
5/30/2022," 2,782.31 "," 6,134.23 ",8/3/2020,5.10875E+15," 43,126.83 ",841 Moose Point,Kalumpang,1110,Fixed Deposit,2,education," 933,727.48 ",Unsatisfactory,Unsatisfactory,Basic Industries," 18,979.33 ",Reriz,30,9/18/2017,Magdalena,29,11/13/2019,,
9/30/2021," 8,673.37 "," 6,392.91 ",1/22/2021,5.10875E+15," 4,405.71 ",88543 Ryan Crossing,D·∫ßu Ti·∫øng,1968,Fixed Deposit,1,education," 602,443.35 ",Good,Good,Health Care," 47,064.62 ",Kaytitinga,19,6/5/2018,Sadahayu,28,10/6/2018,,
10/22/2020," 4,571.20 "," 6,154.47 ",11/24/2020,5.04838E+15," 98,667.98 ",43 Esker Way,Tsagaan-Owoo,1364,Fixed Deposit,3,education," 685,594.29 ",†Very Good†,†Very Good†,Finance," 23,246.22 ",Piraju,29,1/17/2020,Vienna,34,6/21/2019,,
7/21/2017," 2,710.53 "," 5,437.19 ",11/21/2020,5.10875E+15," 32,157.91 ",52396 Vernon Street,Taekas,1403,Fixed Deposit,1,education," 564,098.20 ",†Outstanding,†Outstanding,Technology," 31,701.49 ",Fengshan,9,3/29/2021,Padang,3,9/4/2021,,
1/29/2018," 1,988.86 "," 8,695.28 ",6/17/2022,5.04837E+15," 54,284.78 ",4 Carey Drive,Terek,649,†Money Market Deposit†,4,education," 269,169.88 ",Poor,Poor,n/a, 107.55 ,Lue Amnat,5,7/6/2022,Feij√≥,4,1/5/2022,,
2/11/2020," 2,608.20 "," 3,976.42 ",10/11/2021,5.04838E+15," 73,027.39 ",667 Sunfield Lane,Rude,1127,†Money Market Deposit†,2,education," 477,210.62 ",Unsatisfactory,Unsatisfactory,Capital Goods," 94,646.87 ",Paris 01,45,8/16/2022,Bafat√°,22,2/22/2018,,
6/23/2022," 8,394.37 "," 3,331.20 ",9/4/2020,5.10876E+15," 55,583.96 ",659 Morningstar Circle,Gagnoa,1802,†Money Market Deposit†,4,education," 901,586.67 ",Good,Good,Finance," 28,374.15 ",Vegach√≠,29,2/2/2022,Masaran,30,2/9/2022,,
6/2/2018," 1,947.19 "," 3,102.65 ",2/10/2021,5.04837E+15," 51,948.11 ",2151 Merchant Trail,Upper San Mateo,721,†Money Market Deposit†,5,education," 597,729.70 ",†Very Good†,†Very Good†,n/a," 71,522.78 ",Concepci√≥n,75,3/22/2019,Besan√ßon,8,5/23/2021,,
5/2/2022," 1,127.67 ", 741.85 ,1/11/2018,5.10875E+15," 23,836.22 ",85340 David Avenue,Sankt Andr√§-H√∂ch,1506,†Money Market Deposit†,3,education," 178,563.35 ",†Outstanding,†Outstanding,n/a," 3,254.50 ",Hradec Kr√°lov√©,28,9/25/2018,Chelopech,25,9/27/2020,,
9/1/2020," 4,618.11 "," 1,310.86 ",5/17/2021,5.10876E+15," 76,725.68 ",3 Parkside Circle,San Roque,1710,†Money Market Deposit†,5,education," 907,930.54 ",Poor,Poor,n/a," 95,028.91 ",Cawayan Bugtong,12,1/12/2017,Marseille,14,9/11/2019,,
5/12/2017," 2,952.89 "," 2,631.92 ",9/20/2019,5.04837E+15," 50,113.67 ",3259 Kipling Terrace,B√©thune,1745,†Money Market Deposit†,3,education," 501,216.00 ",Unsatisfactory,Unsatisfactory,Health Care," 78,780.71 ",Krajan Tanjungrejo,84,12/9/2016,Coromandel,37,4/21/2021,,
4/22/2019, 557.28 ," 2,446.65 ",8/25/2022,5.04837E+15," 75,953.15 ",77666 Morrow Alley,Mikhaylovsk,948,†Money Market Deposit†,5,education," 190,246.55 ",Good,Good,Finance," 31,796.21 ",Ragay,84,6/13/2019,Beloyarskiy,1,8/28/2018,,
11/13/2020," 4,810.10 "," 7,165.45 ",6/3/2020,5.04837E+15," 51,275.83 ",11 Holy Cross Point,Qing‚Äôan,1443,†Money Market Deposit†,3,education," 212,331.87 ",†Very Good†,†Very Good†,Technology," 30,741.74 ",Trollh√§ttan,91,8/25/2019,Fenglin,21,11/29/2020,,
7/16/2019," 7,692.83 "," 3,259.37 ",6/22/2022,5.04837E+15," 64,313.60 ",464 Sunbrook Avenue,BƒÅniyƒÅs,113,†Money Market Deposit†,4,education," 743,656.60 ",†Outstanding,†Outstanding,n/a," 37,432.86 ",Horten,77,12/8/2021,Sarbƒ´sheh,38,11/3/2021,,
2/16/2019," 4,552.54 "," 8,998.93 ",12/19/2019,5.10875E+15," 64,038.00 ",7482 American Ash Park,Vrsi,1738,†Money Market Deposit†,3,education," 234,960.74 ",Poor,Poor,Technology," 71,032.17 ",Ranambeling,17,12/11/2016,Dulce Nombre de Culm√≠,22,1/11/2019,,
6/24/2018," 7,823.14 ", 247.71 ,3/23/2021,5.04837E+15," 73,472.30 ",268 Washington Court,Komi,1448,†Money Market Deposit†,2,education," 532,206.37 ",Unsatisfactory,Unsatisfactory,Finance," 61,374.66 ",Bilovods'k,84,8/20/2022,Malec,23,4/23/2020,,
2/2/2020," 9,916.66 "," 9,784.56 ",5/19/2022,5.10876E+15," 94,165.91 ",24961 Moland Plaza,Ber√´zovka,877,†Money Market Deposit†,2,education," 803,335.60 ",Good,Good,Health Care," 1,745.89 ",Bobo-Dioulasso,19,6/5/2022,Pancol,15,8/14/2019,,
6/3/2021," 4,080.51 "," 8,558.45 ",8/11/2018,5.10875E+15," 53,731.98 ",32 School Hill,Magtangol,215,†Money Market Deposit†,4,education," 990,800.44 ",†Very Good†,†Very Good†,n/a," 21,197.58 ",Velk√Ω T√Ωnec,100,10/5/2020,Lubowidz,47,5/24/2019,,
12/14/2017, 306.61 ," 6,204.13 ",12/9/2022,5.04837E+15," 59,126.26 ",0767 Old Gate Point,Itabira,32,†Money Market Deposit†,5,education," 985,629.05 ",†Outstanding,†Outstanding,n/a," 41,602.65 ",Gununganyartambak Tengah,69,11/19/2016,Xijiao,19,9/10/2020,,
8/2/2018," 1,886.07 "," 5,799.88 ",5/14/2021,5.04838E+15," 30,240.15 ",7723 Huxley Lane,Ol Kalou,1637,†Money Market Deposit†,2,education," 372,447.32 ",Poor,Poor,Technology," 55,331.53 ",Nepe√±a,77,8/29/2018,Liaoyang,1,8/8/2020,,
11/28/2017," 6,094.47 "," 3,625.84 ",10/9/2018,5.04837E+15," 79,589.20 ",7 Bunting Circle,Changsha,1012,†Money Market Deposit†,3,education," 376,570.49 ",Unsatisfactory,Unsatisfactory,Consumer Services," 44,439.95 ",Carig,53,9/9/2016,Maykopskoye,44,1/5/2020,,
10/10/2022," 3,546.46 "," 6,496.65 ",6/13/2022,5.04838E+15," 4,036.45 ",40 Village Green Trail,Des Moines,820,†Money Market Deposit†,5,education," 336,342.21 ",Good,Good,n/a," 68,755.07 ",Ko≈õcielec,45,9/20/2017,Kitsuki,33,1/14/2021,,
5/5/2017," 9,394.91 "," 5,516.16 ",12/15/2020,5.10876E+15," 37,116.36 ",31390 Troy Way,Saint-R√©my-de-Provence,665,†Money Market Deposit†,5,education," 486,951.56 ",†Very Good†,†Very Good†,n/a," 23,454.76 ",Karlstad,98,10/26/2017,In√≠rida,46,9/20/2019,,
9/18/2018," 2,954.79 "," 5,065.38 ",10/25/2022,5.10876E+15," 60,438.99 ",3 Katie Drive,ƒÄshkhƒÅneh,1922,†Money Market Deposit†,3,education," 660,729.20 ",†Outstanding,†Outstanding,n/a," 48,322.17 ",Bontang Baru,35,11/24/2018,Quintas,17,7/4/2022,,
5/31/2017," 5,064.70 "," 9,045.34 ",10/27/2022,5.10876E+15," 44,052.97 ",198 Straubel Street,Rudky,310,†Money Market Deposit†,3,education," 525,280.93 ",Poor,Poor,Finance," 51,424.92 ",Paris 17,67,9/27/2018,Coronel Vivida,39,9/2/2020,,
11/12/2020," 5,893.78 "," 6,752.50 ",5/20/2021,5.10876E+15," 22,218.80 ",9 Cody Parkway,Jiuxian,990,†Money Market Deposit†,2,education," 855,448.56 ",Unsatisfactory,Unsatisfactory,n/a," 14,709.61 ",Maluso,32,12/8/2016,Suzuka,13,3/26/2019,,
3/3/2017," 1,565.65 ", 344.51 ,10/20/2018,5.04838E+15," 86,007.23 ",43622 Kennedy Pass,Oeri‚Äôu,1843,†Money Market Deposit†,1,education," 609,706.56 ",Good,Good,n/a," 78,225.24 ",Shapaja,58,8/30/2022,Al ·∏®affah,3,8/6/2019,,
9/16/2021," 3,935.47 "," 1,106.91 ",8/25/2022,5.04838E+15," 28,721.08 ",49 Lakewood Gardens Alley,Mikr√≥kampos,696,†Money Market Deposit†,5,education," 480,583.69 ",†Very Good†,†Very Good†,Transportation," 80,356.11 ",Luzern,75,9/24/2020,Ulundi,32,1/12/2020,,
