timestamp_transaction,transaction_amount,revenue,timestamp_on_account_balance,account_number,account_balance,branch_name,branch_location,foot_traffic,account_type,account_count,loan_type,loan_amount,timestamp_on_satisfaction_rating,satisfaction_rating,investment_product,return_on_investment,location_customer,customer_count,timestamp_ATM_transaction,ATM_location,transaction_count,Timestamp_on_ATM_transaction,metric_compliance_security_metric,metric_value
5/4/2020,"$8,634.86 ","$2,768.73 ",7/10/2018,5.04837E+15,"$75,777.86 ",1912 Hansons Court,Sunnyside,1187,,52,,"$603,086.22 ",1/9/2020,148.237.137.249,Basic Industries,"$87,409.06 ",00 Grim Avenue,74,12/17/2018,Independence,64,7/11/2019,166.187.221.242,144.93.4.82
12/6/2018,"$8,741.89 ","$3,891.70 ",8/14/2020,5.10875E+15,"$46,391.33 ",381 Talisman Drive,Sundown,1936,,51,,"$672,621.99 ",10/20/2018,140.7.56.166,Energy,"$74,526.33 ",2165 Artisan Trail,27,4/17/2016,Kinsman,11,10/22/2019,26.117.49.235,255.166.30.133
8/26/2022,$128.24 ,"$1,399.30 ",6/3/2022,5.04837E+15,"$15,405.16 ",72358 Hintze Hill,Corscot,1959,,48,,"$946,117.87 ",12/14/2018,101.176.203.234,n/a,"$13,340.69 ",1861 Bunting Way,73,10/3/2017,Badeau,43,12/9/2022,216.143.210.50,69.59.107.7
5/3/2018,"$2,690.70 ","$2,648.27 ",4/30/2018,5.10876E+15,"$36,997.41 ",24 Rutledge Center,Oak Valley,1804,,93,,"$104,769.00 ",2/6/2022,114.177.228.45,Basic Industries,"$3,636.12 ",12660 Sunnyside Avenue,75,3/15/2019,Beilfuss,36,10/12/2022,67.94.254.127,161.134.143.245
2/14/2020,"$8,536.42 ","$8,947.85 ",9/25/2019,5.04837E+15,"$36,803.26 ",229 Anhalt Court,Lunder,1421,,48,,"$884,559.35 ",2/13/2021,25.1.184.107,n/a,"$78,215.90 ",922 Fisk Crossing,89,5/3/2022,Shopko,17,4/1/2019,190.40.80.64,253.164.18.18
2/12/2022,"$6,374.90 ","$3,594.34 ",11/4/2019,5.10875E+15,"$79,669.94 ",63550 Springview Center,Larry,101,,48,,"$188,417.19 ",6/26/2019,109.157.59.56,n/a,"$73,731.67 ",709 Pine View Parkway,53,11/19/2018,Scott,2,12/27/2021,72.168.161.44,203.71.13.153
11/12/2018,"$6,690.90 ","$6,723.29 ",10/20/2022,5.04837E+15,"$15,892.22 ",9461 American Road,Forster,82,,28,,"$174,978.71 ",4/13/2022,182.101.188.206,n/a,"$15,708.24 ",1 Scoville Avenue,73,1/11/2022,Coolidge,13,4/10/2021,192.218.173.126,182.126.225.132
2/12/2018,"$8,520.49 ","$2,531.52 ",4/6/2022,5.04838E+15,"$65,288.59 ",20 High Crossing Hill,Bobwhite,342,,70,,"$222,442.09 ",2/13/2022,74.32.142.203,n/a,"$30,268.93 ",11273 Katie Drive,20,5/7/2016,Corben,5,7/1/2018,19.194.185.247,21.245.248.190
12/17/2019,"$2,601.81 ","$2,982.18 ",8/20/2022,5.04837E+15,"$33,212.80 ",1 Straubel Pass,Buena Vista,734,,67,,"$896,057.13 ",3/26/2020,124.216.94.189,n/a,"$91,512.06 ",2230 Wayridge Lane,71,9/5/2022,Pond,19,6/2/2018,133.95.184.76,127.35.7.120
4/24/2021,"$2,408.20 ","$4,816.84 ",10/26/2019,5.10875E+15,"$54,102.86 ",5243 Carey Parkway,Bowman,26,,19,,"$221,957.75 ",11/24/2020,213.146.172.125,Health Care,"$74,558.82 ",74 Magdeline Way,50,3/15/2016,Clemons,5,1/25/2019,215.172.47.34,66.38.80.97
2/3/2019,"$9,241.70 ","$6,768.92 ",8/21/2018,5.10876E+15,"$53,918.21 ",8 Cordelia Avenue,Marcy,380,,10,,"$444,475.82 ",4/2/2020,2.212.34.119,n/a,"$68,048.39 ",060 Ridge Oak Street,39,12/15/2022,Village Green,97,3/24/2020,5.136.4.40,90.50.86.188
8/23/2018,"$8,690.89 ","$5,906.05 ",8/6/2019,5.04837E+15,"$80,460.30 ",51206 Vermont Point,Express,1054,,54,,"$989,500.57 ",5/13/2021,217.126.14.193,Consumer Services,"$49,228.62 ",1 Jana Place,44,9/16/2019,Grover,5,12/17/2020,191.148.33.210,62.243.16.70
3/12/2018,"$4,464.43 ","$2,187.65 ",1/4/2022,5.10875E+15,"$59,407.80 ",117 Summer Ridge Plaza,Reinke,1732,,76,,"$127,740.15 ",12/18/2018,11.118.152.171,Technology,"$87,146.55 ",0 Valley Edge Circle,81,10/23/2022,Farmco,65,1/1/2021,149.149.117.5,176.73.242.87
1/20/2019,"$5,539.26 ","$2,164.93 ",9/13/2018,5.04837E+15,"$10,265.75 ",6 Luster Way,Everett,1303,,86,,"$799,518.85 ",9/9/2019,44.246.182.219,Health Care,"$8,540.77 ",8521 Ridge Oak Point,62,5/21/2021,Mayfield,73,3/31/2018,192.119.121.218,122.170.170.154
8/9/2017,"$2,133.21 ","$8,463.26 ",12/2/2018,5.10876E+15,"$80,352.07 ",28619 Sloan Center,Bashford,1336,,65,,"$543,861.67 ",10/14/2018,163.225.117.32,Health Care,"$37,268.87 ",88 Morningstar Court,74,6/9/2020,Judy,16,3/30/2020,20.48.246.53,74.157.178.54
1/28/2022,"$4,149.29 ",$323.91 ,1/8/2020,5.04837E+15,"$84,753.76 ",190 Ohio Way,Holy Cross,130,,21,,"$846,723.34 ",4/27/2022,239.92.166.249,n/a,"$13,948.47 ",8836 Alpine Street,58,10/1/2021,Butterfield,38,3/31/2019,244.115.5.206,102.239.219.189
11/6/2017,"$2,161.57 ","$9,255.72 ",10/28/2019,5.04837E+15,"$69,730.60 ",9475 Grim Terrace,Autumn Leaf,154,,75,,"$447,791.25 ",8/14/2019,252.237.208.95,Finance,"$20,214.70 ",73980 Corscot Trail,38,6/1/2019,Loftsgordon,20,10/27/2022,158.56.41.114,174.230.32.76
4/16/2022,"$5,568.29 ","$2,873.94 ",5/4/2020,5.10875E+15,"$55,293.74 ",0609 Bartelt Street,Waxwing,751,,100,,"$917,977.12 ",5/25/2022,66.120.28.120,Energy,"$3,024.20 ",4316 Melody Pass,9,1/15/2018,Kingsford,66,1/6/2020,177.118.237.111,11.58.51.213
3/14/2022,"$8,103.98 ","$2,191.43 ",2/22/2022,5.10876E+15,"$54,663.53 ",02046 Dorton Parkway,Bartillon,1282,,11,,"$761,155.16 ",3/29/2022,232.7.231.13,Technology,"$26,294.18 ",47 Almo Pass,33,3/2/2022,Comanche,96,3/28/2018,221.57.149.19,14.191.185.20
2/12/2018,"$5,224.95 ","$9,003.01 ",1/9/2018,5.10875E+15,"$27,596.37 ",7135 Hudson Trail,Alpine,1741,,21,,"$459,164.59 ",2/7/2018,132.2.213.40,n/a,"$19,347.01 ",772 Marquette Plaza,88,9/16/2022,Corben,94,6/2/2019,12.113.31.70,116.63.217.153
1/20/2021,"$4,950.83 ","$3,361.82 ",11/12/2021,5.10875E+15,"$50,749.15 ",56845 Crest Line Drive,Dwight,1474,,10,,"$762,518.00 ",8/31/2022,55.217.190.31,Basic Industries,"$98,924.17 ",97 Declaration Point,97,8/18/2020,Ramsey,12,3/24/2018,224.253.74.0,141.86.161.214
9/30/2020,"$8,735.33 ","$2,791.26 ",5/25/2022,5.04838E+15,"$57,422.01 ",17 Bowman Street,Grover,991,,51,,"$380,872.00 ",1/26/2019,188.185.205.185,Consumer Non-Durables,"$22,293.61 ",923 Cardinal Lane,25,8/30/2019,Sachs,80,8/11/2018,39.214.21.235,128.26.72.40
11/7/2019,"$1,787.60 ",$442.16 ,8/31/2018,5.10876E+15,$838.26 ,18556 Hoard Pass,Eastwood,485,,56,,"$573,082.13 ",10/8/2019,52.7.242.77,Consumer Services,"$23,592.03 ",95 Brickson Park Junction,86,2/18/2021,Blackbird,16,6/29/2020,66.93.12.234,137.213.192.95
6/6/2019,"$6,960.58 ","$6,084.33 ",3/23/2021,5.10876E+15,"$17,271.16 ",60 Ohio Plaza,Katie,699,,49,,"$940,140.12 ",9/21/2019,160.172.179.128,Health Care,"$71,308.71 ",83288 Carberry Alley,13,10/24/2016,Hazelcrest,2,12/11/2019,48.218.198.110,217.97.128.186
6/8/2020,"$6,769.67 ","$4,876.34 ",9/14/2022,5.04838E+15,"$80,320.08 ",56347 Summer Ridge Alley,Ohio,536,,47,,"$103,888.13 ",9/12/2021,28.142.72.244,Consumer Services,"$9,021.93 ",91 Boyd Circle,2,7/31/2020,Warner,89,12/11/2019,151.94.200.71,56.25.205.170
5/29/2018,"$9,140.20 ","$2,809.03 ",6/27/2020,5.04838E+15,"$8,581.22 ",81932 Bellgrove Drive,Dexter,1745,,3,,"$439,053.90 ",6/11/2019,112.250.75.246,n/a,"$88,898.24 ",2 Mendota Way,30,6/25/2017,Blaine,86,8/17/2022,163.85.197.104,106.103.227.38
7/5/2020,"$1,156.12 ","$8,368.60 ",5/8/2021,5.10875E+15,"$1,992.94 ",54506 Reinke Alley,Old Shore,289,,25,,"$244,841.87 ",12/2/2019,206.5.35.192,Consumer Non-Durables,"$28,562.22 ",0598 Farragut Drive,71,7/14/2017,Hagan,60,10/26/2021,151.248.219.221,16.201.155.46
5/8/2019,"$6,351.46 ","$2,906.14 ",10/18/2021,5.10876E+15,"$7,524.27 ",259 Valley Edge Way,Bluejay,545,,22,,"$397,338.97 ",1/9/2022,78.171.223.84,Finance,"$57,828.59 ",585 Esch Way,55,1/29/2018,Onsgard,44,5/19/2020,246.11.102.7,43.8.93.160
3/26/2019,"$1,602.61 ","$4,709.64 ",12/13/2021,5.04838E+15,"$56,492.48 ",372 Lakeland Avenue,Heath,783,,50,,"$293,096.61 ",12/6/2018,1.191.152.38,Health Care,"$21,502.46 ",6416 Ronald Regan Point,39,9/13/2021,David,22,8/17/2019,57.1.214.107,149.11.180.114
5/25/2022,"$6,376.98 ","$7,463.43 ",10/15/2018,5.10875E+15,"$88,008.67 ",3695 Starling Drive,3rd,1757,,20,,"$554,937.61 ",3/15/2019,99.228.115.222,n/a,"$28,771.93 ",6 Marcy Court,38,8/16/2017,Hoard,24,12/2/2020,229.145.250.29,225.132.138.117
1/26/2021,"$5,097.57 ","$6,370.88 ",6/19/2020,5.10876E+15,"$86,163.91 ",963 Ridgeview Way,Homewood,1749,,73,,"$410,047.23 ",1/5/2022,87.153.28.195,Health Care,"$87,244.23 ",3 Pleasure Circle,92,12/19/2019,Forest,25,9/30/2020,24.227.149.123,216.231.44.131
4/17/2020,"$1,817.76 ","$3,994.20 ",5/15/2019,5.04837E+15,"$52,202.85 ",3 Swallow Point,Westerfield,142,,95,,"$252,126.95 ",10/23/2019,207.221.6.196,Energy,"$9,483.30 ",61 Meadow Vale Way,58,2/14/2018,Mccormick,47,5/11/2019,219.51.250.241,135.9.211.192
6/9/2022,"$8,057.63 ","$9,466.82 ",8/9/2018,5.10876E+15,"$91,229.25 ",4874 Heffernan Way,Larry,1149,,27,,"$930,060.74 ",2/16/2021,8.44.70.2,Finance,"$67,013.59 ",333 Anniversary Trail,19,8/15/2017,Drewry,90,8/5/2018,78.41.92.197,187.32.9.183
4/29/2022,"$4,509.97 ","$7,455.74 ",3/29/2019,5.10876E+15,"$20,659.98 ",88504 Dorton Point,Clove,1037,,8,,"$900,345.61 ",7/29/2020,150.161.10.14,n/a,"$19,557.44 ",992 Namekagon Place,63,4/16/2021,Talisman,20,10/10/2021,102.244.244.54,211.201.214.234
6/11/2018,"$7,363.19 ","$4,186.80 ",7/16/2022,5.10876E+15,"$94,528.75 ",8565 Alpine Circle,Manley,1626,,77,,"$120,459.37 ",2/15/2022,120.16.21.58,Finance,"$3,624.60 ",0725 Florence Street,10,1/26/2020,Sherman,23,8/22/2021,54.249.91.200,250.108.123.218
11/9/2019,"$9,435.51 ",$314.81 ,1/13/2022,5.04837E+15,"$91,517.72 ",62613 Fisk Circle,Helena,1593,,87,,"$611,674.76 ",6/27/2021,124.121.202.63,Consumer Services,"$93,893.08 ",2 2nd Drive,73,7/28/2020,Cordelia,14,6/13/2018,192.57.250.57,93.114.158.117
4/2/2018,"$3,051.14 ",$441.96 ,11/27/2021,5.10875E+15,"$5,953.67 ",45 Myrtle Pass,Mifflin,993,,35,,"$527,411.34 ",9/17/2021,204.72.214.67,Basic Industries,"$92,813.46 ",6 Tennessee Park,70,7/16/2016,Gateway,27,3/26/2022,97.18.220.162,77.204.244.25
11/22/2018,"$1,777.71 ","$9,493.79 ",12/3/2019,5.04838E+15,"$50,459.33 ",2761 Farmco Plaza,Dayton,188,,83,,"$780,133.59 ",2/19/2021,240.0.170.244,Finance,"$73,605.92 ",5394 Holmberg Court,31,10/17/2021,Bultman,6,5/24/2019,127.33.15.39,214.207.80.198
12/6/2019,"$9,827.98 ",$5.91 ,6/14/2018,5.04838E+15,"$55,633.31 ",01 Gerald Park,Waxwing,1904,,52,,"$522,020.86 ",9/19/2019,204.74.225.108,Consumer Services,"$34,073.44 ",6 Marcy Street,70,10/14/2021,Karstens,46,1/7/2021,61.188.124.246,55.190.155.246
1/1/2021,"$4,896.34 ",$683.57 ,10/2/2020,5.10876E+15,"$80,130.91 ",175 Thompson Center,Oak Valley,949,,70,,"$234,782.11 ",10/25/2019,16.12.160.3,n/a,"$8,488.12 ",39900 Kennedy Crossing,6,3/5/2022,Eagan,40,10/6/2021,190.109.191.30,19.194.127.120
12/8/2018,"$8,139.71 ","$9,752.38 ",10/19/2021,5.10876E+15,"$6,494.75 ",0 Hanover Avenue,Caliangt,560,,20,,"$789,157.97 ",3/26/2018,155.52.85.131,Finance,"$97,088.56 ",6 Holmberg Road,59,9/6/2019,Coleman,17,7/5/2021,24.142.153.76,111.212.214.87
5/4/2018,"$6,077.36 ","$9,241.67 ",1/19/2020,5.10876E+15,"$32,506.17 ",3 Sunfield Park,Arrowood,1226,,95,,"$513,429.23 ",4/5/2019,50.81.90.178,Finance,"$57,435.61 ",4 Crownhardt Court,63,6/9/2017,Browning,53,8/13/2018,57.98.175.165,29.189.149.160
12/18/2020,"$6,039.54 ","$5,658.86 ",10/21/2018,5.10875E+15,"$7,257.98 ",8 South Court,Claremont,379,,13,,"$360,024.69 ",3/11/2020,41.17.207.102,Public Utilities,"$36,181.61 ",4191 Esker Road,72,12/3/2020,Cardinal,59,10/23/2019,92.11.119.223,255.0.193.9
7/4/2021,"$4,870.77 ",$610.41 ,9/11/2020,5.04838E+15,"$85,201.58 ",97 Atwood Way,Cambridge,366,,48,,"$476,411.53 ",4/30/2022,237.156.158.172,Health Care,"$10,424.80 ",7 Sage Junction,46,3/27/2019,Scofield,10,3/3/2020,239.90.184.201,87.164.47.65
6/14/2018,"$7,504.45 ","$7,268.84 ",3/19/2019,5.10876E+15,"$26,901.89 ",8434 Fulton Court,Thompson,111,,33,,"$398,098.61 ",4/14/2018,92.16.75.208,Public Utilities,"$28,093.41 ",5 Luster Road,90,2/27/2017,Dwight,4,5/14/2020,121.185.121.188,130.39.193.37
8/13/2021,"$4,976.34 ","$2,480.09 ",12/19/2019,5.10875E+15,"$88,254.51 ",9 Scott Junction,Acker,698,,43,,"$652,358.40 ",11/19/2018,0.55.207.46,Technology,"$35,098.10 ",28 Ryan Junction,63,5/9/2022,Summerview,98,5/28/2022,146.155.2.118,202.128.108.83
11/30/2018,"$8,469.09 ","$8,672.81 ",6/23/2022,5.10875E+15,"$22,625.44 ",59 Hoffman Plaza,Clyde Gallagher,300,,51,,"$587,598.48 ",3/25/2019,99.219.124.95,Consumer Durables,"$39,979.74 ",9975 Dexter Place,97,7/4/2020,Birchwood,46,2/4/2020,135.26.127.240,157.98.34.101
11/3/2019,"$7,011.25 ","$1,246.66 ",1/31/2020,5.04838E+15,"$63,252.10 ",9123 Roth Place,Fair Oaks,620,,93,,"$134,141.77 ",6/30/2019,184.214.211.38,Health Care,"$42,084.84 ",81 Birchwood Alley,36,7/24/2022,Bunker Hill,59,5/24/2019,208.82.118.9,226.154.19.68
12/10/2017,"$1,965.96 ",$675.36 ,12/23/2018,5.04837E+15,"$65,794.93 ",6 Ryan Pass,Westridge,1271,,57,,"$644,756.16 ",12/26/2019,67.127.135.187,n/a,"$27,929.34 ",5738 Welch Center,97,12/26/2021,Crest Line,97,9/1/2020,248.94.138.159,191.75.154.46
7/1/2019,"$9,936.01 ","$4,390.39 ",2/28/2022,5.10875E+15,"$45,264.68 ",61 Northview Park,Sauthoff,1077,,12,,"$466,774.32 ",10/12/2021,6.160.129.86,Energy,"$94,396.11 ",2 Waubesa Trail,77,2/7/2022,Ronald Regan,61,8/24/2022,18.227.96.139,109.163.169.31
11/26/2017,"$5,378.57 ","$4,389.45 ",12/11/2021,5.10876E+15,"$59,615.12 ",4940 Beilfuss Way,Crowley,396,,94,,"$513,334.33 ",6/19/2021,5.28.5.202,Consumer Services,"$53,636.57 ",3 Meadow Valley Parkway,83,12/13/2020,Derek,62,4/9/2021,19.218.10.239,20.213.2.2
7/2/2018,"$6,122.33 ","$5,391.48 ",10/25/2018,5.04837E+15,"$27,425.80 ",1 Debra Court,Bartelt,1923,,90,,"$181,894.84 ",8/19/2022,143.211.12.0,Capital Goods,"$98,665.59 ",15 Artisan Terrace,87,7/9/2022,Milwaukee,33,5/26/2021,242.48.147.158,143.117.75.99
4/18/2020,"$8,322.30 ","$2,423.49 ",1/29/2019,5.10875E+15,"$16,766.99 ",9235 Kingsford Terrace,Nancy,1777,,75,,"$530,581.39 ",2/23/2021,231.71.137.244,Health Care,"$66,681.94 ",98958 Hazelcrest Court,84,4/8/2016,Marquette,40,5/20/2018,181.212.227.61,156.17.21.87
7/1/2020,"$6,841.44 ",$588.35 ,2/25/2018,5.04838E+15,"$52,210.66 ",01128 Cambridge Junction,Springs,1379,,25,,"$971,739.59 ",2/9/2021,106.116.14.98,Finance,"$50,933.00 ",238 Memorial Lane,14,5/12/2021,Russell,12,10/21/2018,158.17.166.134,99.139.223.190
3/27/2017,"$8,349.62 ","$8,908.58 ",1/5/2018,5.04838E+15,"$39,912.96 ",58 Schmedeman Circle,North,1199,,77,,"$607,713.99 ",9/10/2021,95.210.141.65,Health Care,"$26,689.33 ",65954 Drewry Court,88,8/5/2020,Little Fleur,39,6/22/2021,25.253.10.200,29.203.165.171
2/23/2019,"$7,642.48 ","$8,547.67 ",3/5/2018,5.10876E+15,"$88,082.07 ",38 Fairfield Hill,Lindbergh,412,,30,,"$384,085.90 ",12/16/2018,241.180.226.118,Public Utilities,"$31,550.06 ",6 Algoma Point,17,2/14/2017,Eagle Crest,9,7/2/2019,189.86.226.185,140.121.105.30
9/1/2018,"$3,664.10 ","$9,690.04 ",10/13/2022,5.04837E+15,"$23,753.98 ",412 Mandrake Park,Fisk,985,,88,,"$546,114.00 ",7/28/2022,97.67.66.188,Finance,"$57,425.57 ",26672 Moose Drive,53,10/26/2020,Kinsman,13,1/17/2019,160.167.43.101,14.93.39.143
7/25/2018,"$9,936.23 ","$9,350.01 ",8/26/2021,5.04837E+15,"$46,896.48 ",4 Tennessee Crossing,Packers,1621,,95,,"$504,007.97 ",2/4/2018,245.48.15.186,Energy,"$81,117.74 ",065 Cascade Terrace,5,12/23/2016,Lerdahl,11,2/28/2019,1.166.19.224,1.22.70.59
11/25/2022,"$2,132.43 ","$7,274.60 ",3/31/2019,5.10876E+15,"$36,028.64 ",51498 Burning Wood Hill,Elka,828,,41,,"$148,278.96 ",9/20/2022,174.74.177.240,Health Care,"$21,832.16 ",838 Rutledge Drive,38,2/21/2020,Loftsgordon,55,9/5/2021,1.149.8.142,160.73.198.185
4/15/2018,"$1,063.93 ","$1,350.84 ",6/28/2021,5.04837E+15,"$38,435.14 ",3 Almo Hill,Schiller,372,,17,,"$222,383.16 ",12/8/2022,81.86.225.188,Basic Industries,"$50,005.91 ",1078 Dayton Road,78,11/4/2016,Marquette,86,9/30/2021,98.85.112.226,178.73.101.185
8/23/2020,"$3,178.61 ","$2,000.10 ",4/22/2019,5.10875E+15,"$63,127.04 ",4807 Summerview Court,Everett,1404,,62,,"$881,915.66 ",1/4/2019,41.133.202.93,Technology,"$13,066.21 ",0 Iowa Park,22,2/3/2022,Waywood,50,11/13/2021,243.182.128.142,90.62.57.199
10/15/2018,"$4,645.69 ","$3,003.11 ",1/26/2021,5.04837E+15,"$18,446.83 ",91606 Donald Street,Fisk,1829,,80,,"$181,048.74 ",7/22/2022,163.96.175.5,Consumer Non-Durables,"$94,738.83 ",909 Shelley Crossing,95,4/19/2022,Algoma,29,10/16/2018,84.157.94.7,220.125.133.83
9/9/2020,"$7,008.14 ","$8,544.42 ",9/9/2022,5.10876E+15,"$2,624.16 ",95 Pine View Plaza,Mockingbird,1151,,100,,"$743,530.06 ",11/26/2020,75.182.89.53,Finance,"$32,638.49 ",4926 Badeau Road,6,2/13/2019,Manitowish,5,7/11/2021,26.62.28.57,128.23.152.168
10/25/2017,"$8,129.17 ","$7,195.95 ",4/1/2019,5.04837E+15,"$96,379.84 ",179 Maple Lane,Hermina,1899,,26,,"$824,228.11 ",4/28/2020,196.251.13.160,Finance,"$25,803.58 ",11 Bashford Court,96,11/16/2021,Dapin,1,2/21/2018,92.242.130.213,105.139.50.56
7/27/2022,"$2,532.12 ",$800.97 ,4/3/2019,5.04838E+15,"$94,859.98 ",4121 Manitowish Court,Vidon,1253,,5,,"$576,459.37 ",12/8/2019,84.36.0.226,Capital Goods,"$51,673.43 ",826 Green Junction,13,3/9/2021,Lerdahl,5,11/13/2021,18.210.232.67,198.62.172.188
